index,ground_truth,prediction,wer,cer
0,cutting edge of 1930s' technology they had underground barracks hospitals and even electric railways they were equipped for a variety of threats this is a twin 8mm machine gun to deal with infantry,cutting age of 1930s technology they'd got underground barricks hospitals and even electric railways this is a twin eight millimetre machine gone to deal with infantry,0.48484848484848486,0.29441624365482233
1,forward on a rail through this armoured shutter,forward on a rail through this armored shutter,0.125,0.02127659574468085
2,bombed the french tanks artillery and anti tank guns firing from across the meuse pounded the concrete bunkers housing the defenders of sedan,bombed the french tanks are telery pieces and anti tang guns flying from across the murds just behind those trees pounded the concrete bunkers housing the defenders of saddan,0.4782608695652174,0.2907801418439716
3,compared with the maginot line in 1940 it wasn't even,compared with emotional line and in 1940 it wasn't even,0.3,0.22641509433962265
4,this way these positions were held by over age reservists,so you can have to do it but we're not to do you,1.3,0.7719298245614035
5,german advance was taking shape first the motorcycle reconnaissance then the tanks and miles behind marching to catch,german advance was already taking shape first the motorcycle reconsinse then the tanks and miles behind marching desperately to catch,0.16666666666666666,0.2222222222222222
6,carried sabres carbines and had few anti tank guns they held the village in a desperate day's fighting colonel balck one of the german commanders considered it one of the hardest day's fighting of his career,carried sabors carbines and had a few anti tanklines kernel bork one of the german commanders reckondic was one of the hardest days fighting of his entire career,0.5277777777777778,0.40096618357487923
7,for moving too fast on 17th may here at montcornet a few dozen french tanks under colonel de gaulle jabbed into the flank of the german line of advance they shot up german trucks before they ran out of momentum and petrol it was an indication of how vulnerable the germans were and of what might have been achieved had the allied commanders been able to mount a co ordinated,for moving too fast on the 17th of may here at morconne a few dozen french tanks under cornal sharled a goal a few dozen french of the german line of advance they shot up a lot of german trucks before they eventually ran out of momentum and petrol it was though an indication of just how vulnered a goalze had been able to mount a coordinated attacks,0.4714285714285714,0.40106951871657753
8,once they reached these straight roads across northern france the germans fairly clipped along almost nothing was in their way captain von kielmansegg of first panzer division described that odd vacuum behind the panzer divisions in this peaceful landscape human beings are absent everything is dead and empty not even the old people have remained,that me do you to see to me to do you to see up to that i'm not to do you to do you to do you to do you to do not to do it up to that we're doing to do you have to do it up to that we're not going to do it to be able to do you're not to do you have to do it up to dogs to that we're not going to do it to do you have to do you to do not to do it up to dogs you have to do not to do it to be homing,1.9272727272727272,0.8674351585014409
9,this is one of the few surviving specimens of the infantry tank mark one known as the matilda it lives in the tank museum at bovington it's cramped slow poorly armed but heavily armoured not the ideal thing in which to take on a panzer division,this is one of the few surviving specimines of the infantry tank mark i known as the matilda it's cramped poorly armed but heavily arm not the ideal sort of thing in which to take on a panzo division,0.32608695652173914,0.27049180327868855
10,that was very hard to do in battle this running gear looks,that was a very difficult thing to do in battle all this running looks,0.4166666666666667,0.43103448275862066
11,i arrived at petit vimy exhausted and disorganised i was given a map by my commander and told to follow him the wireless didn't work there was no tie up with infantry and no clear orders this was our state as we crossed the start line for our first action it wasn't a very auspicious start we're,i arrived at pity viemy exhausted and disorganized i was given a map by my comicy commander and told to start up and follow him the wireless was our state there was no time with the infantry and no clear orders this was our start line for our first action it wasn't a very oruspicious beginning,0.3684210526315789,0.2745762711864407
12,in fact the british were throwing a handful of tanks and infantry into this,fact the british were throwing a handful of dance and of three into this,0.2857142857142857,0.17333333333333334
13,its leading company pushed on down this road but soon ran into heavy opposition and had to fall back it's typical of the day's confusion that it was just short of the line where the battle was meant,late in the afternoon its leading company pushed on down this road but soon ran into heavy opposition and had to fall back it's typical of the day's confusion that it was just short of the line where the battle was meant to start,0.15789473684210525,0.15656565656565657
14,a few minutes the officers and ncos collected themselves and said we must get on with it it was hard to get some men moving we had to kick them into position and the effect was considerable the durhams,after a few minutes the officers in exos collected themselves and said right we must get on with it but it was very difficult to get some of a bad moving we had to get them in the position and the effect was very conceivable the topic was,0.4358974358974359,0.32338308457711445
15,into warlus later that night they broke out with the help of french tanks the survivors were back up on vimy ridge by six the next,to virus and later that night they broke out with the help of french tanks the survivors were back up on vemi ridge by six the next morning,0.19230769230769232,0.14615384615384616
16,find chaos and confusion he drove up onto this hillock where there were some german guns only to be attacked by british tanks coming from arras in the north and from the,to find chaos and confusion he's over here up on this hellon where there were some german guns only to be heavily attacked by british tanks coming from the north in the direction of arists and from the,0.375,0.28402366863905326
17,had nothing to penetrate the armour of british tanks and dozens were killed or captured one british officer said we had a glorious free for all i didn't see why we shouldn't go all the way to berlin,had nothing to hand which would penetrate the armor of british tanks and dozens of them were killed or captain one british officer said that we had a glorious fee for all at that moment i didn't see why we shouldn't go all the way to berlin,0.3157894736842105,0.25757575757575757
18,they got barely another two miles and were stopped here by field guns firing from that ridge one officer drove up here and saw 20 tanks lying in this field their crews dead beside them or crawling through the grass,got barely another two miles and was stopped here by fear guns farming from that rich one young officer drove up here and saw about 20 tanks lying in this field their crews dead beside them all crawling back through the grass,0.225,0.16355140186915887
19,but it was the allies' tragedy that mesmerised by blitzkrieg they never managed to turn these risks to their,it was the allies tragedy that mesmerized by blitzcreen they never managed to turn these risks to their advance,0.2631578947368421,0.1574074074074074
20,plays host to our fair and in this place there are 300 stalls but because the weather's so jolly wet most of our filming's going to happen in these here sheds here's a quick peek as to what's coming up,plays host to our fair and in this place there are 300 stores but because the weather's so jolly wet most of our filming's going to happen in these earshets here's a quick peak as to what's coming up,0.1,0.04477611940298507
21,show today we've got two teams of friends well they're friends at the moment we've got helen,today we've got two teams of friends well they're not of friends are we want alan,0.47058823529411764,0.33695652173913043
22,we met about nine years ago through ex partners who were best friends and we started going out as couples but then i got a little job at,we met about nine years ago through x partners who were best friends and we started going out as couples but then i got a little job at,0.03571428571428571,0.007352941176470588
23,and what do you do to earn buck trace i'm an orthopaedic practitioner which means,to see i'm an authorpedic practitioner which's being,0.7333333333333333,0.5061728395061729
24,plaster people's arms and legs do you when they break,plaster people's arms and legs when they break,0.2,0.1320754716981132
25,well i was yes i was nurse for 22 years at the queen elizabeth hospital in,well i was yes i was in nurse for 22 years the queens the bith hospital in,0.3125,0.17567567567567569
26,i now have worked for the last ten years for social,i now have worked for the last 10 years for social,0.09090909090909091,0.058823529411764705
27,to the right and the nurses to the left what could possibly go wrong,to the right and the nurses to the left what could possibly go wrong,0.0,0.0
28,nickel plated silver something like that,nickels plate in silver or something like that,0.6666666666666666,0.175
29,there's money left in it i think it's very nice quality it's victorian yeah,just work i think it's a very nice quality it's victorian yanos,0.5,0.36
30,theme going here and i love competitions you've tested me i've tested you here comes another,theme of going here and i love competitions you've tested me i've tested you comes under the other,0.3125,0.16304347826086957
31,speaking yeah if it's art deco it,i don't know i do you know i,1.1428571428571428,0.7575757575757576
32,confused because you said victorian but 1920 you're very close but that wasn't the victorian,confused because you said victorian but 1920 you're very close but that wasn't the victorian,0.0,0.0
33,condition it's great but i really would be happy to see it an awful lot less so do you want to do your magic but i can try i would think,condition it's great but i really would be happy to see it in an awful lot less so do you want to do your magic but i would think,0.12903225806451613,0.09558823529411764
34,going to take you to look at something tribal that i found recently on,to take you something tribal that i've found recently on my time,0.5,0.4
35,just take gander of what you can achieve in these fairs,just take a gander of what you can achieve in these fairs,0.09090909090909091,0.03636363636363636
36,purpose and this one is in the form of a,purpose and this one is in the form of,0.1,0.05
37,fancy what you did in your tribal setup was to wind some sort of string or length of wool or leather around the middle of this thing in other words it's a kind of skein holder if you,fancy what you did in your tribal set up was to wind some sort of string or leather or leather around the middle of this thing in other words it's a kind of seen holder if you,0.15789473684210525,0.07142857142857142
38,four very interesting naive tribal carvings,four very interesting naive tribal carvings,0.0,0.0
39,now if you'd gone around the corner you might have found on the,if you've gone around the corner you might have found on the,0.15384615384615385,0.09523809523809523
40,either beaded or knotted or plaited in some elaborate sense and therefore if you were in that part of the world you'd desperately need one of,either beat it or notche it or plastic in some elaborate sense and therefore if you're in that part of the world you desperately need one of the,0.34615384615384615,0.15602836879432624
41,that is a fraction of the cost of the air ticket to get you,that is a fraction of the cost of the air ticket to get you to west,0.14285714285714285,0.13559322033898305
42,about right yeah in which case they're going to come away from this at about right in which case they don't really need their bonus buy but we might just as well go and have a,i used to get some of using there are the here and we have to do that wear to be on the world to be the web of the world to be able to the world of the world,1.0833333333333333,0.6971428571428572
43,right now for the audience at home let's find out what the auctioneer thinks about caroline's chinese pot,right now for the audience at home let's find out what the orchanye thinks about caroline's chinese pot,0.05555555555555555,0.06666666666666667
44,so they'll be lucky if they get their money back but you never know you might ignite some interest,they'd be lucky if they get their money back but you never know you might ignite some interest,0.10526315789473684,0.05102040816326531
45,it would be nice if it did but the time you've pushed it really hard we'll try very very hard,they would be nice if it doesn't have been pushed it mg well we'll try very very hard,0.4,0.3333333333333333
46,body which means your core pressure drops dramatically and um people have died from going into,which means your core pressure drops dramatically and people have died from going into,0.125,0.0851063829787234
47,a seven metre tidal range today so we had to get him out fairly quickly,seven meter title wrenched today so we had to get him out fairly quickly,0.26666666666666666,0.16901408450704225
48,it's really important if it's sutured that it's sutured correctly so you don't you're not left with a,it's really important if it's suitured that it's suitured correctly so you're not left with a,0.2222222222222222,0.1188118811881188
49,on a week's holiday down here and they're stuck in the conservatory of the property they've said they've got water and things but obviously they can't get out so we're going to go up now and assess the situation and see what we can do to help maybe get some keys through the window or something to open it,weeks holiday down here and they're stuck in the conservatory of the property they've said they've got water in things but obviously they can't get out so we're going to go up now and assess situation and see what we can do to help maybe get some keys through a window or something to open it up,0.11864406779661017,0.05901639344262295
50,which is obviously couple of hours' drive away so we don't believe they're coming from there but at this stage we,to see the climber round the driverway so we're completely get me from the eprinting next one,0.9047619047619048,0.6460176991150443
51,eased the pain dramatically to the extent where he was laughing and joking he thought it was rather funny and his friends which is a sign of the times were actually taking pictures of it and putting it on,he's the pain dramatically to the extent where he was laughing and joking i thought it was rather funny and his friends which was sign of the times were actually taking pictures of it and putting it in,0.1282051282051282,0.05392156862745098
52,long shopping trip dogs are famous for being man's best friend but can they be man's best team mate we're going to put that to the test,long shopping trip dogs are famous for being man's best friend but can there be man's best teammate we're going to put that to the test,0.1111111111111111,0.022222222222222223
53,him although he's a security dog he's been trained purely through play not aggression,although he's a security dog he's been trained purely through a plain not aggression,0.21428571428571427,0.09411764705882353
