index,ground_truth,prediction,wer,cer
0,cutting edge of 1930s' technology they had underground barracks hospitals and even electric railways they were equipped for a variety of threats this is a twin 8mm machine gun to deal with infantry,cutting age of 1930s technology they'd got underground barricks hospitals and even electric railways this is a twin eight millimetre machine gun to deal with infantry,0.45454545454545453,0.28426395939086296
1,forward on a rail through this armoured shutter,forward on a rail through this armond shutter,0.125,0.06382978723404255
2,bombed the french tanks artillery and anti tank guns firing from across the meuse pounded the concrete bunkers housing the defenders of sedan,bombed the french tanks are telery pieces and anti tank guns flying from across the murds just behind those trees pounded the concrete bunkers housing the defenders of sadan,0.43478260869565216,0.2765957446808511
3,compared with the maginot line in 1940 it wasn't even,compared with emotional line and in 1940 it wasn't even,0.3,0.22641509433962265
4,this way these positions were held by over age reservists,this way these positions were held by over aid reservists,0.1,0.03508771929824561
5,german advance was taking shape first the motorcycle reconnaissance then the tanks and miles behind marching to catch,german advance was already taking shape first the motorcycle reconnassance then the tanks and miles behind marching desperately to catch up,0.2222222222222222,0.20512820512820512
6,carried sabres carbines and had few anti tank guns they held the village in a desperate day's fighting colonel balck one of the german commanders considered it one of the hardest day's fighting of his career,carried sabers carbines and had a few anti tank guns kernel balk one of the german commanders reckonded was one of the hardest days fighting of his entire career,0.4722222222222222,0.3719806763285024
7,for moving too fast on 17th may here at montcornet a few dozen french tanks under colonel de gaulle jabbed into the flank of the german line of advance they shot up german trucks before they ran out of momentum and petrol it was an indication of how vulnerable the germans were and of what might have been achieved had the allied commanders been able to mount a co ordinated,for moving too fast on the 17th of may here at morconne a few dozen french of german luns and just what might have been achieved if only the allied commanders had been able to mount a coordinated attacks,0.6428571428571429,0.5989304812834224
8,once they reached these straight roads across northern france the germans fairly clipped along almost nothing was in their way captain von kielmansegg of first panzer division described that odd vacuum behind the panzer divisions in this peaceful landscape human beings are absent everything is dead and empty not even the old people have remained,once they reached these straight roads across northern france the germans fairly clipped along captain ron kilman said at first pensard division described that strange vacuum behind the pan's division everything is dead and empty not even the old people have remained,0.4,0.30547550432276654
9,this is one of the few surviving specimens of the infantry tank mark one known as the matilda it lives in the tank museum at bovington it's cramped slow poorly armed but heavily armoured not the ideal thing in which to take on a panzer division,this is one of the few surviving specimens of the infantry tank markwan known as the matilder it's cramped poorly armed but heavily armed not the ideal sort of thing in which to take on a panza division,0.34782608695652173,0.2540983606557377
10,that was very hard to do in battle this running gear looks,that was a very difficult thing to do in battle all this running there looks,0.4166666666666667,0.41379310344827586
11,i arrived at petit vimy exhausted and disorganised i was given a map by my commander and told to follow him the wireless didn't work there was no tie up with infantry and no clear orders this was our state as we crossed the start line for our first action it wasn't a very auspicious start we're,i arrived at pity v me exhausted and disorganized i was given a map by my company commander and told to start up and follow him the wireless wasn't working there was no time with the infantry and no clear orders this was our state as we crossed the start line for our first action it wasn't a very or suspicious beginning,0.2807017543859649,0.1864406779661017
12,in fact the british were throwing a handful of tanks and infantry into this,in fact the british were throwing a handful of tanks and infantry into this,0.0,0.0
13,its leading company pushed on down this road but soon ran into heavy opposition and had to fall back it's typical of the day's confusion that it was just short of the line where the battle was meant,late in the afternoon its leading company pushed on down this road but soon ran into heavy opposition and had to fall back it's typical of the day's confusion that it was just short of the line where the battle was meant to start,0.15789473684210525,0.15656565656565657
14,a few minutes the officers and ncos collected themselves and said we must get on with it it was hard to get some men moving we had to kick them into position and the effect was considerable the durhams,after a few minutes the officers and ngos collected themselves and said right we must get on with it but it was very difficult to get some of the men moving we had to kick them into position and the effect was very considerable the durm's,0.2564102564102564,0.21890547263681592
15,into warlus later that night they broke out with the help of french tanks the survivors were back up on vimy ridge by six the next,to virus and later that night they broke out with the help of french tanks the survivors were back up on vemi ridge by six the next morning,0.19230769230769232,0.14615384615384616
16,find chaos and confusion he drove up onto this hillock where there were some german guns only to be attacked by british tanks coming from arras in the north and from the,to find chaos and confusion he drove here up onto this helic where there was some german guns only to be heavily attacked by british tanks coming from the north in the direction of aris and from the,0.3125,0.26627218934911245
17,had nothing to penetrate the armour of british tanks and dozens were killed or captured one british officer said we had a glorious free for all i didn't see why we shouldn't go all the way to berlin,nothing to hand which would penetrate the armor of british tanks and dozens of them were killed or captured one british officer said that we had a glorious free for all at that moment i didn't see why we shouldn't go all the way to berlin,0.2894736842105263,0.2474747474747475
18,they got barely another two miles and were stopped here by field guns firing from that ridge one officer drove up here and saw 20 tanks lying in this field their crews dead beside them or crawling through the grass,they got barely another two miles and was stopped here by feel guns firing from that rich one young officer drove up here and saw about 20 tanks lying in this field their crews dead beside them or crawling back through the grass,0.15,0.11214953271028037
19,but it was the allies' tragedy that mesmerised by blitzkrieg they never managed to turn these risks to their,it was the allies tragedy that mesmerized by blitzcreen they never managed to turn these risks to their advance,0.2631578947368421,0.1574074074074074
20,plays host to our fair and in this place there are 300 stalls but because the weather's so jolly wet most of our filming's going to happen in these here sheds here's a quick peek as to what's coming up,plays host to our fair and in this place there are 300 stalls but because the weather's so jolly wet most of our filming's going to happen in these earshets here's a quick peak as to what's coming up,0.075,0.029850746268656716
21,show today we've got two teams of friends well they're friends at the moment we've got helen,today we've got two teams of friends well they're friends at the moment we've got helen and,0.11764705882352941,0.09782608695652174
22,we met about nine years ago through ex partners who were best friends and we started going out as couples but then i got a little job at,we met about nine years ago through x partners who were best friends and we started going out as couples but then i got a little job at,0.03571428571428571,0.007352941176470588
23,and what do you do to earn buck trace i'm an orthopaedic practitioner which means,and what do you do to earn albert h i'm an authopedic practitioner which means,0.2,0.14814814814814814
24,plaster people's arms and legs do you when they break,plaster people's arms and legs when they break it,0.3,0.18867924528301888
